player,salary,position,team,team_past_record
"Robert, Luis",9500000,OF,Chicago White Sox,0.5
"Kelly, Joe",9000000,RHP,Chicago White Sox,0.5
"Benintendi, Andrew",8600000,OF,Chicago White Sox,0.5
"Clevinger, Michael",8000000,RHP,Chicago White Sox,0.5
"Graveman, Kendall",8000000,RHP,Chicago White Sox,0.5
"Cease, Dylan",5700000,RHP,Chicago White Sox,0.5
"Bummer, Aaron",3750000,LHP,Chicago White Sox,0.5
"Lopez, Reynaldo",3625000,RHP,Chicago White Sox,0.5
"Diekman, Jake",3500000,LHP,Chicago White Sox,0.5
"Andrus, Elvis",3000000,SS,Chicago White Sox,0.5
"Kopech, Michael",2050000,RHP,Chicago White Sox,0.5
"Alberto, Hanser",1300000,2B,Chicago White Sox,0.5
"Ruiz, Jose",925000,RHP,Chicago White Sox,0.5
"Vaughn, Andrew",760000,1B,Chicago White Sox,0.5
"Lambert, James",735000,RHP,Chicago White Sox,0.5
"Sheets, Gavin",735000,1B,Chicago White Sox,0.5
"Foster, Matt*",734000,RHP,Chicago White Sox,0.5
"Crochet, Garrett*",733000,LHP,Chicago White Sox,0.5
"Zavala, Seby",732000,C,Chicago White Sox,0.5
"Gonzalez, Roman",723000,SS,Chicago White Sox,0.5
"Colas, Oscar",720000,OF,Chicago White Sox,0.5
"Santos, Gregory",720000,RHP,Chicago White Sox,0.5
"Votto, Joey*",25000000,1B,Cincinnati,0.383
"Myers, Wil",6000000,OF,Cincinnati,0.383
"Newman, Kevin",2662500,2B,Cincinnati,0.383
"Cessa, Luis",2650000,RHP,Cincinnati,0.383
"Casali, Curt",2500000,C,Cincinnati,0.383
"Weaver, Luke*",2000000,RHP,Cincinnati,0.383
"Senzel, Nick*",1950000,OF,Cincinnati,0.383
"Farmer, Buck",1725000,RHP,Cincinnati,0.383
"Sims, Lucas*",1267500,RHP,Cincinnati,0.383
"Maile, Luke",1175000,C,Cincinnati,0.383
"Young, Alex",1150000,LHP,Cincinnati,0.383
